강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.96,202306,12,"31,000",11,2007,성덕로 328-15,,중개거래,강릉시
강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,157.22,202306,19,"55,000",8,2007,성덕로 328-15,,중개거래,강릉시
강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.96,202306,21,"32,500",6,2007,성덕로 328-15,,중개거래,강릉시
강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,84.96,202306,21,"31,500",9,2007,성덕로 328-15,,중개거래,강릉시
강원특별자치도 강릉시 입암동,Jan-92,92,1,녹원,84.88,202306,19,"17,000",14,1992,월대산로 57,,중개거래,강릉시
강원특별자치도 강릉시 입암동,496-5,496,5,대목,39.72,202306,29,"3,850",1,1988,용지로 35,,직거래,-
강원특별자치도 강릉시 입암동,May-90,90,5,은하,39.85,202306,29,"5,800",2,2001,월대산로 47,,중개거래,강릉시
강원특별자치도 강릉시 입암동,641,641,0,입암1주공,39.72,202306,9,"12,000",5,1986,강변로 364,,중개거래,강릉시
강원특별자치도 강릉시 입암동,685,685,0,입암5주공,49.97,202306,22,"13,000",14,1996,성덕포남로 89-17,,직거래,-
강원특별자치도 강릉시 입암동,685,685,0,입암5주공,39.99,202306,27,"9,000",4,1996,성덕포남로 89-17,,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202306,2,"17,700",9,1998,성덕포남로 39,,중개거래,강원 강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202306,2,"14,000",10,1998,성덕포남로 39,,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202306,5,"15,500",14,1998,39,,중개거래,강원 강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202306,12,"17,000",9,1998,성덕포남로 39,20230614,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202306,13,"17,000",9,1998,성덕포남로 39,,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202306,20,"18,000",15,1998,성덕포남로 39,,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202306,21,"16,900",10,1998,성덕포남로 39,,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202306,23,"12,000",3,1998,성덕포남로 39,,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202306,28,"15,500",15,1998,성덕포남로 39,,중개거래,강릉시
강원특별자치도 강릉시 입암동,712,712,0,입암동강변코아루오투리움아파트,79.191,202306,3,"32,000",9,2019,23,,중개거래,강원 강릉시
강원특별자치도 강릉시 입암동,440,440,0,입암현대,59.956,202306,16,"16,000",4,1998,용지로 19,,중개거래,강릉시
강원특별자치도 강릉시 입암동,440,440,0,입암현대,99.604,202306,17,"29,800",12,1998,용지로 19,,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,34.722,202306,14,"6,200",4,1998,강변로410번길 31-5,,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,39.348,202306,20,"10,600",10,1998,강변로410번길 31-5,,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,49.85,202306,17,"13,000",7,2000,연주로 241-7,20230628,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,49.85,202306,28,"13,000",7,2000,연주로 241-7,,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,49.86,202306,1,"7,300",9,1999,보리골길 26,,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,49.86,202306,2,"7,650",10,1999,보리골길 26,,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,49.86,202306,5,"7,000",5,1999,보리골길 26,,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,59.98,202306,17,"9,800",1,1999,보리골길 26,,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,430-1,430,1,유성,49.89,202306,30,"7,700",2,1991,매맥이윗길 12-4,,직거래,-
강원특별자치도 강릉시 주문진읍 교항리,01월 29일,29,1,정우2,84.8,202306,20,"12,600",1,1993,연주로 291-6,,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 주문리,61,61,0,주문진라일플로리스4차,23.662,202306,19,"10,400",6,2017,오리나루2길 25,,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 주문리,61,61,0,주문진라일플로리스4차,26.207,202306,20,"10,000",15,2017,오리나루2길 25,,직거래,-
강원특별자치도 강릉시 주문진읍 주문리,1585,1585,0,케이티레파트더블루힐,59.33,202306,29,"10,900",4,2007,주문북로 147-32,,중개거래,강릉시
강원특별자치도 강릉시 지변동,334,334,0,덕원임대,52.176,202306,2,"8,900",13,1998,25,,중개거래,강원 강릉시
강원특별자치도 강릉시 지변동,334,334,0,덕원임대,33.471,202306,3,"5,900",3,1998,죽헌길85번길 25,,중개거래,강릉시
